,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
105,102,Oregon St.,P12,14-12,+8.67,108.3,99.6,65.5,+.046,107.6,98.3,1333.0
106,103,Loyola Marymount,WCC,13-9,+8.66,107.8,99.2,66.5,+.033,104.6,98.2,1258.0
107,104,San Francisco,WCC,11-14,+8.56,106.9,98.4,68.1,-.104,105.5,99.5,1362.0
108,105,Akron,MAC,14-7,+8.22,108.8,100.6,69.7,+.005,105.7,102.2,1103.0
109,106,Washington St.,P12,14-12,+8.19,101.8,93.6,68.0,+.005,106.3,99.4,1450.0
110,107,Ohio,MAC,13-7,+8.19,111.3,103.1,69.3,+.010,104.4,102.3,1325.0
111,108,UC Riverside,BW,13-7,+8.11,104.1,96.0,67.0,-.089,101.5,103.4,1415.0
112,109,UC Irvine,BW,16-8,+7.71,100.8,93.1,67.8,+.023,102.5,101.8,1414.0
113,110,Butler,BE,9-14,+7.53,102.6,95.1,65.5,+.045,109.8,96.1,1139.0
114,111,Pepperdine,WCC,12-12,+7.28,108.0,100.7,71.5,-.002,106.5,97.5,1337.0
115,112,Massachusetts,A10,8-7,+7.18,106.4,99.2,72.1,-.057,103.1,99.5,1269.0
116,113,Cincinnati,Amer,10-10,+7.15,105.4,98.2,71.0,+.064,105.8,96.9,1153.0
117,114,South Carolina,SEC,6-14,+7.09,105.0,97.9,75.2,-.057,109.4,94.8,1376.0
118,115,Arizona St.,P12,10-13,+6.85,107.8,100.9,72.8,+.012,108.2,97.4,1113.0
119,116,Yale,Ivy,0-0,+6.85,108.1,101.2,68.2,+.000,0.0,200.0,1463.0
120,117,Tulsa,Amer,11-11,+6.55,102.7,96.2,65.7,-.013,105.5,97.3,1409.0
121,118,Indiana St.,MVC,15-10,+6.52,103.3,96.7,67.3,+.079,105.4,99.6,1232.0
122,119,South Dakota St.,Sum,16-7,+6.44,111.1,104.6,71.3,+.008,102.7,103.6,1355.0
123,120,Duquesne,A10,9-9,+6.42,102.6,96.2,69.3,+.007,105.0,98.6,1182.0
126,121,Bowling Green,MAC,14-10,+6.40,108.0,101.6,70.7,-.004,105.6,102.0,1132.0
127,122,Eastern Washington,BSky,13-7,+6.10,109.7,103.6,73.1,-.103,100.6,103.9,1186.0
128,123,Pacific,WCC,9-9,+5.66,103.8,98.1,67.3,+.021,106.5,98.5,1334.0
129,124,Wofford,SC,15-9,+5.59,107.1,101.5,66.3,+.025,104.8,102.0,1459.0
130,125,Weber St.,BSky,17-5,+5.12,107.6,102.4,72.3,-.008,100.0,105.4,1451.0
131,126,East Tennessee St.,SC,13-12,+5.05,103.7,98.7,65.8,-.063,104.6,101.5,1190.0
132,127,TCU,B12,12-13,+4.94,106.1,101.2,67.1,+.091,107.7,96.7,1395.0
133,128,Morehead St.,OVC,23-7,+4.85,100.9,96.0,65.7,+.152,101.4,103.8,1287.0
134,129,Texas A&M,SEC,8-9,+4.84,102.5,97.7,64.5,+.031,106.4,98.5,1401.0
135,130,DePaul,BE,4-13,+4.79,98.4,93.6,70.6,-.076,109.1,96.6,1177.0
136,131,Vermont,AE,10-5,+4.76,106.2,101.4,66.8,-.069,96.3,104.7,1436.0
137,132,Mercer,SC,18-11,+4.66,106.9,102.2,68.1,-.002,103.8,102.4,1273.0
138,133,Grand Canyon,WAC,15-6,+4.42,102.6,98.1,65.5,-.062,100.0,104.9,1213.0
139,134,Boston College,ACC,4-15,+4.40,106.6,102.2,71.6,-.107,110.1,97.0,1130.0
140,135,George Mason,A10,13-9,+4.36,101.9,97.6,68.5,+.046,104.4,101.5,1206.0
141,136,UTEP,CUSA,12-11,+4.01,103.5,99.5,68.0,-.051,103.6,99.6,1431.0
142,137,Temple,Amer,5-10,+3.96,102.4,98.4,68.6,-.072,105.5,97.1,1396.0
143,138,Cal St. Bakersfield,BW,15-10,+3.29,105.4,102.1,64.2,-.004,101.6,102.2,1167.0
144,139,Bradley,MVC,12-16,+3.06,104.2,101.1,66.3,-.086,105.3,100.1,1133.0
145,140,Southern Utah,BSky,19-3,+3.04,108.2,105.1,69.7,+.110,100.1,105.9,1381.0
146,141,Miami FL,ACC,8-16,+2.88,101.5,98.6,68.1,+.000,109.1,97.8,1274.0
147,142,North Dakota St.,Sum,15-11,+2.79,103.9,101.1,64.8,-.017,103.2,104.3,1295.0
148,143,Miami OH,MAC,12-10,+2.79,107.1,104.3,66.4,+.013,104.7,102.4,1275.0
149,144,Detroit,Horz,12-10,+2.71,110.5,107.7,67.6,-.051,103.7,105.4,1178.0
150,145,Ball St.,MAC,10-12,+2.71,103.7,101.0,71.0,-.031,105.7,102.0,1123.0
151,146,VMI,SC,13-12,+2.40,108.5,106.1,70.3,-.048,104.4,102.0,1440.0
152,147,Tulane,Amer,9-12,+2.33,98.8,96.5,67.8,-.013,103.4,98.4,1408.0
153,148,Georgia St.,SB,16-6,+2.22,106.2,104.0,71.0,+.076,101.2,103.6,1209.0
154,149,Drexel,CAA,11-7,+2.17,107.8,105.6,64.5,-.053,100.6,104.4,1180.0
155,150,Old Dominion,CUSA,15-7,+2.06,101.5,99.4,68.0,+.159,102.2,101.1,1330.0
156,151,Stephen F. Austin,Slnd,16-5,+2.04,103.9,101.8,70.0,+.047,97.6,106.3,1372.0
157,152,East Carolina,Amer,8-10,+1.91,100.2,98.3,68.4,-.009,103.7,99.0,1187.0
158,153,Princeton,Ivy,0-0,+1.89,105.0,103.1,66.9,+.000,0.0,200.0,1343.0
159,154,Santa Clara,WCC,12-8,+1.89,100.4,98.5,70.7,+.147,103.6,99.8,1365.0
160,155,Chattanooga,SC,18-8,+1.89,103.6,101.8,66.8,+.102,103.0,103.0,1151.0
161,156,Oral Roberts,Sum,15-10,+1.85,109.4,107.6,71.7,-.004,102.8,103.6,1331.0
162,157,Cleveland St.,Horz,18-7,+1.68,101.4,99.7,66.1,+.190,104.9,106.5,1156.0
163,158,New Mexico St.,WAC,10-7,+1.66,103.9,102.2,64.8,-.096,99.8,104.6,1308.0
